State,Date,Total,Category,lag_1,lag_7,lag_30,rolling_mean_4,rolling_std_4,month,quarter,week,year
Alabama,2020-09-27,127614100,Beverages,129079260.0,133548791.0,123782286.0,129968962.5,3064262.52607503,9,3,39,2020
Alabama,2020-10-18,122464550,Beverages,127614100.0,132657649.0,116218909.0,128406849.5,4937850.2940599285,10,4,42,2020
Alabama,2020-10-25,121301025,Beverages,122464550.0,137880677.0,109968011.0,125114733.75,3809293.3892945256,10,4,43,2020
Alabama,2020-11-15,117987142,Beverages,121301025.0,131642695.0,109056410.0,122341704.25,3994098.7182515874,11,4,46,2020
Alabama,2020-11-22,124645965,Beverages,117987142.0,128713002.0,113040422.0,121599670.5,2778937.328562435,11,4,47,2020
Alabama,2020-11-29,118491656,Beverages,124645965.0,134469488.0,108528456.0,120606447.0,3062310.888153703,11,4,48,2020
Alabama,2020-12-13,116502691,Beverages,118491656.0,129079260.0,116541575.0,119406863.5,3593309.3540948736,12,4,50,2020
Alabama,2020-12-20,122244236,Beverages,116502691.0,127614100.0,106949922.0,120471137.0,3662420.7649068283,12,4,51,2020
Alabama,2020-12-27,115522663,Beverages,122244236.0,122464550.0,105904866.0,118190311.5,2971504.8842269126,12,4,52,2020
Alabama,2021-01-17,115816664,Beverages,115522663.0,121301025.0,106265737.0,117521563.5,3175112.7133543454,1,1,2,2021
Alabama,2021-01-24,113870548,Beverages,115816664.0,117987142.0,107397612.0,116863527.75,3687989.110811154,1,1,3,2021
Alabama,2021-01-31,115802738,Beverages,113870548.0,124645965.0,107801054.0,115253153.25,931633.0725256795,1,1,4,2021
Alabama,2021-02-14,115644582,Beverages,115802738.0,118491656.0,132632134.0,115283633.0,945283.9865726708,2,1,6,2021
Alabama,2021-02-21,112186375,Beverages,115644582.0,116502691.0,127145065.0,114376060.75,1702431.6884518366,2,1,7,2021
Alabama,2021-02-28,124158003,Beverages,112186375.0,122244236.0,116657084.0,116947924.5,5088147.64621996,2,1,8,2021
Alabama,2021-03-14,143739698,Beverages,124158003.0,115522663.0,117742073.0,123932164.5,14130781.778966574,3,1,10,2021
Alabama,2021-03-21,138119750,Beverages,143739698.0,115816664.0,118114595.0,129550956.5,14205131.062668508,3,1,11,2021
Alabama,2021-03-28,124801756,Beverages,138119750.0,113870548.0,130340051.0,132704801.75,9774055.807732988,3,1,12,2021
Alabama,2021-04-18,126192682,Beverages,124801756.0,115802738.0,134708619.0,133213471.5,9218124.464067426,4,2,15,2021
Alabama,2021-04-25,127348328,Beverages,126192682.0,115644582.0,129887877.0,129115629.0,6092363.176747867,4,2,16,2021
Alabama,2021-05-16,135462842,Beverages,127348328.0,112186375.0,131401893.0,128451402.0,4788834.0643206,5,2,19,2021
Alabama,2021-05-23,140446890,Beverages,135462842.0,124158003.0,133712552.0,132362685.5,6786704.0859347675,5,2,20,2021
Alabama,2021-05-30,139935911,Beverages,140446890.0,143739698.0,132320128.0,135798492.75,6062006.612152962,5,2,21,2021
Alabama,2021-06-13,137083192,Beverages,139935911.0,138119750.0,133548791.0,138232208.75,2366223.86117224,6,2,23,2021
Alabama,2021-06-20,144489981,Beverages,137083192.0,124801756.0,132657649.0,140488993.5,3050412.9659811007,6,2,24,2021
Alabama,2021-06-27,140720826,Beverages,144489981.0,126192682.0,137880677.0,140557477.5,3052227.1190829845,6,2,25,2021
Alabama,2021-07-18,143840884,Beverages,140720826.0,127348328.0,131642695.0,141533720.75,3392662.718133284,7,3,28,2021
Alabama,2021-07-25,143718288,Beverages,143840884.0,135462842.0,128713002.0,143192494.75,1682209.2755190034,7,3,29,2021
Alabama,2021-08-15,149096388,Beverages,143718288.0,140446890.0,134469488.0,144344096.5,3481246.0755679007,8,3,32,2021
Alabama,2021-08-22,142623393,Beverages,149096388.0,139935911.0,129079260.0,144819738.25,2903159.9931419822,8,3,33,2021
Alabama,2021-08-29,140962323,Beverages,142623393.0,137083192.0,127614100.0,144100098.0,3518284.7263901066,8,3,34,2021
Alabama,2021-09-19,133797917,Beverages,140962323.0,144489981.0,122464550.0,141620005.25,6285451.36364129,9,3,37,2021
Alabama,2021-09-26,133378009,Beverages,133797917.0,140720826.0,121301025.0,137690410.5,4788459.741841371,9,3,38,2021
Alabama,2021-10-17,195850755,Beverages,133378009.0,143840884.0,117987142.0,150997251.0,30104215.539473977,10,4,41,2021
Alabama,2021-10-24,189687422,Beverages,195850755.0,143718288.0,124645965.0,163178525.75,34261188.50655664,10,4,42,2021
Alabama,2021-10-31,189048085,Beverages,189687422.0,149096388.0,118491656.0,176991067.75,29236710.78688033,10,4,43,2021
Alabama,2021-11-14,184911321,Beverages,189048085.0,142623393.0,116502691.0,189874395.75,4511715.471890995,11,4,45,2021
Alabama,2021-11-21,190608741,Beverages,184911321.0,140962323.0,122244236.0,188563892.25,2517898.916755115,11,4,46,2021
Alabama,2021-11-28,177133617,Beverages,190608741.0,133797917.0,115522663.0,185425441.0,6027957.450140445,11,4,47,2021
Alabama,2021-12-19,189045387,Beverages,177133617.0,133378009.0,115816664.0,185424766.5,6027417.10117167,12,4,50,2021
Alabama,2021-12-26,183210806,Beverages,189045387.0,195850755.0,113870548.0,184999637.75,6134718.894192133,12,4,51,2021
Alabama,2022-01-16,180918293,Beverages,183210806.0,189687422.0,115802738.0,182577025.75,4987433.134766145,1,1,2,2022
Alabama,2022-01-23,177754219,Beverages,180918293.0,189048085.0,115644582.0,182732176.25,4766408.404622141,1,1,3,2022
Alabama,2022-01-30,179630073,Beverages,177754219.0,184911321.0,112186375.0,180378347.75,2292038.9328465955,1,1,4,2022
Alabama,2022-02-13,181195482,Beverages,179630073.0,190608741.0,124158003.0,179874516.75,1569483.2851759084,2,1,6,2022
Alabama,2022-02-20,178404182,Beverages,181195482.0,177133617.0,143739698.0,179245989.0,1514602.283797406,2,1,7,2022
Alabama,2022-02-27,192108735,Beverages,178404182.0,189045387.0,138119750.0,182834618.0,6287391.742296776,2,1,8,2022
Alabama,2022-03-13,194057784,Beverages,192108735.0,183210806.0,124801756.0,186441545.75,7794111.452349907,3,1,10,2022
Alabama,2022-03-20,194303303,Beverages,194057784.0,180918293.0,126192682.0,189718501.0,7606506.411001248,3,1,11,2022
Alabama,2022-03-27,195635389,Beverages,194303303.0,177754219.0,127348328.0,194026302.75,1454183.0287576322,3,1,12,2022
Alabama,2022-04-17,199965775,Beverages,195635389.0,179630073.0,135462842.0,195990562.75,2739278.492940563,4,2,15,2022
Alabama,2022-04-24,197876829,Beverages,199965775.0,181195482.0,140446890.0,196945324.0,2495798.501287807,4,2,16,2022
Alabama,2022-05-15,208193477,Beverages,197876829.0,178404182.0,139935911.0,200417867.5,5477026.808603688,5,2,19,2022
Alabama,2022-05-22,219547509,Beverages,208193477.0,192108735.0,137083192.0,206395897.5,9833906.998720473,5,2,20,2022
Alabama,2022-05-29,212449962,Beverages,219547509.0,194057784.0,144489981.0,209516944.25,9063823.161721224,5,2,21,2022
Alabama,2022-06-19,220358695,Beverages,212449962.0,194303303.0,140720826.0,215137410.75,5835276.985777011,6,2,24,2022
Alabama,2022-06-26,220100179,Beverages,220358695.0,195635389.0,143840884.0,218114086.25,3791210.7631482957,6,2,25,2022
Alabama,2022-07-17,212769923,Beverages,220100179.0,199965775.0,143718288.0,216419689.75,4402321.327717094,7,3,28,2022
Alabama,2022-07-24,215436686,Beverages,212769923.0,197876829.0,149096388.0,217166370.75,3702194.2645665496,7,3,29,2022
Alabama,2022-07-31,221654891,Beverages,215436686.0,208193477.0,142623393.0,217490419.75,4109118.965491523,7,3,30,2022
Alabama,2022-08-14,224323610,Beverages,221654891.0,219547509.0,140962323.0,218546277.5,5356518.748667541,8,3,32,2022
Alabama,2022-08-21,215153556,Beverages,224323610.0,212449962.0,133797917.0,219142185.75,4575322.961704466,8,3,33,2022
Alabama,2022-08-28,215670829,Beverages,215153556.0,220358695.0,133378009.0,219200721.5,4513188.974701761,8,3,34,2022
Alabama,2022-09-18,213270228,Beverages,215670829.0,220100179.0,195850755.0,217104555.75,4922018.081269388,9,3,37,2022
Alabama,2022-09-25,215556916,Beverages,213270228.0,212769923.0,189687422.0,214912882.25,1117362.9052306514,9,3,38,2022
Alabama,2022-10-16,204418181,Beverages,215556916.0,215436686.0,189048085.0,212229038.5,5323352.983509316,10,4,41,2022
Alabama,2022-10-23,198480435,Beverages,204418181.0,221654891.0,184911321.0,207931440.0,7922857.772433413,10,4,42,2022
Alabama,2022-10-30,194245502,Beverages,198480435.0,224323610.0,190608741.0,203175258.5,9249003.867692215,10,4,43,2022
Alabama,2022-11-13,194267617,Beverages,194245502.0,215153556.0,177133617.0,197852933.75,4808474.785942092,11,4,45,2022
Alabama,2022-11-20,197053090,Beverages,194267617.0,215670829.0,189045387.0,196011661.0,2108745.7972559403,11,4,46,2022
Alabama,2022-11-27,192420637,Beverages,197053090.0,213270228.0,183210806.0,194496711.5,1911434.6154684285,11,4,47,2022
Alabama,2022-12-18,200415284,Beverages,192420637.0,215556916.0,180918293.0,196039157.0,3483800.0617437763,12,4,50,2022
Alabama,2022-12-25,200741724,Beverages,200415284.0,204418181.0,177754219.0,197657683.75,3869016.0534966565,12,4,51,2022
Alabama,2023-01-15,185544784,Beverages,200741724.0,198480435.0,179630073.0,194780607.25,7260725.071006947,1,1,2,2023
Alabama,2023-01-22,182246125,Beverages,185544784.0,194245502.0,181195482.0,192236979.25,9726561.532823242,1,1,3,2023
